Article,Origin_City,article_length,Date,since_Date_years,Heading,NewsType,rownumber
"DHAKA: Coming jubilant from UAE following successful holding of Pakistan Super League (PSL), but the men in green conceded a humiliating defeat from arch-rival India in their Asia Cup opener, which they would want to forget as soon as possible starting with a big victory against minnows UAE when the two teams clash on Monday here in Mirpur.“For its part, Pakistan was taken by surprise at the way the pitch played on Saturday,” Shoaib Malik said after Pakistan was defeated by India.Pakistan slipped and slid to 83 against India, Sarfraz Ahmed´s 24-ball 25 the only innings of substance. Mohammad Amir put in a fantastic spell at the top of India´s innings to keep Pakistan in the game, but only just.“We made some mistakes. We didn´t know what the conditions here would be. Now we have played, now we know how to deal with it,” said Malik on the sidelines of the Pakistan team´s training session on the afternoon before the match.“We had miscalculated. It wasn´t a typical T20 wicket where you look at 170 or 180. We know we have the best attack among all teams. But the batsmen have to take responsibility. Whoever gets in has to score 60-70, so the team ends up scoring 140-150, which the bowlers can defend.“We should have scored 130. We had two run outs. Otherwise one of them might have gone on to score 40-50. Here, 130-plus is a great score, unless the conditions change.”<br/> <br/> It´s unlikely that Pakistan will be worrying too much about its bowling. Amir, as well as Mohammad Sami, bowled extremely well against India, while Mohammad Irfan troubled India´s batsmen no end. Wahab Riaz did, however, have an average day, but it could well have been an aberration.Like with UAE, it´s the batting that Pakistan has to address. And fast. Both Sri Lanka and Bangladesh have already beaten UAE and India could too, going by form. So winning on Monday is non-negotiable for Pakistan. But the idea must be put up a big performance - with the ball, of course; even more so with the bat.<br/> <br/> Since qualifying for this level in 2014, UAE has played three Twenty20 Internationals against Test-playing nations, two of them in this tournament and one against Zimbabwe earlier. To its credit, UAE have gone about it manfully, bowling well and showing good spirit on the field. Sri Lanka was restricted to 129 for 8 and Bangladesh for a similar 133 for 8. But with the bat UAE has fallen behind. <br/> <br/> Teams (from)Pakistan: Shahid Afridi (captain), Anwar Ali, Iftikhar Ahmed, Imad Wasim, Khurram Manzoor, Mohammad Amir, Mohammad Hafeez, Mohammad Irfan, Mohammad Nawaz, Mohammad Sami, Sarfraz Ahmed (wk), Sharjeel Khan, Shoaib Malik, Umar Akmal, Wahab Riaz.UAE: Amjad Javed (captain), Ahmed Raza, Fahad Tariq, Farhan Ahmed, Mohammad Naveed, Mohammad Shahzad, Muhammad Kaleem, Muhammad Usman, Swapnil Patil, Qadeer Ahmed, Rohan Mustafa, Saqlain Haider, Shaiman Anwar, Usman Mushtaq, Zaheer Maqsood. (PPI) ",DHAKA,2916,2016-02-28T00:00:00.000Z,9,Pakistan looks to thrash UAE to bury demons of India def,sports,770
"DHAKA: Sri Lanka set a 139-run target against India in the Asia Cup T20 match at Sher-eBangla National Stadium on Tuesday.</strongIndian pacers Jasprit Bumrah and Hardik Pandya and spinner Ashwin grabbed two wickets each to restrict Sri Lanka to 138.Kapugedera remained top-scorer for the islanders scoring 30 off 32 balls. He was helped by Siriwardana 22, Dilshan and Mathews with 18 each, Perera 17 and Kulasekara with 13 runs at the end.Earlier, India won the toss and decided to field.Teams:India: RG Sharma, S Dhawan, V Kohli, SK Raina, Yuvraj Singh, MS Dhoni (captain), HH Pandya, RA Jadeja, R Ashwin, JJ Bumrah, A NehraSri Lanka: Dinesh Chandimal (wk), Tillakaratne Dilshan, Milinda Siriwardana, Dasun Shanaka, Angelo Mathews (capt.), Chamara Kapugedera, Shehan Jayasuriya, Thisara Perera, Nuwan Kulasekara, Rangana Herath, Dushmantha Chameera  ",DHAKA,859,2016-03-01T00:00:00.000Z,9,Asia Cup India restrict Sri Lanka to 138,sports,787
"SIMLA: A keenly-awaited clash between India and Pakistan in the 2016 T20 ICC World Cup – to be played in Dharamsala, Himachal Pradesh – might just not happen, or be moved to another city.Himachal Pradesh Congress on Sunday asked the BCCI to either cancel the proposed India-Pakistan T20 World Cup match slated for March 19 at Dharamsala, Himachal Pradesh or shift the venue to any other city.The executive of the Himachal Pradesh Congress Committee also criticised the secretary of Board of Control for Cricket in India (BCCI) and BJP MP Anurag Thakur for the decision to hold the match in Dharamsala.Leaders of the Congress party, which rules the state, are asking the Indian cricket board to cancel the match in order to ""respect sentiments"" of family members of those killed in the 2 January terrorist attack on the nearby Pathankot air base, allegedly by Pakistani men.At the least, the 19 March game should be played elsewhere, the politicians have told the Board of Control for Cricket in India (BCCI). The local unit of the Congress party has threatened to stage protests and halt the match.""In case the Himachal Pradesh Cricket Association (HPCA) still does not call off the match, the Congress protest will only intensify and the match will not be allowed at any cost,"" Chief Minister Vidharba Singh was quoted as saying by an Indian newspaper.The protest is an unusual one in the context of India-Pakistan sports. It is typically Prime Minister Narendra Modi's Bharatiya Janata Party (BJP) or the right-wing Shiv Sena that try to stop sports encounters. But this time, both the BJP and the Congress are seeking to block the match.Former BJP lawmaker Rakesh Pathania has joined the call against the match and former chief minister Shanta Kumar, of the BJP, has even written to Modi asking for the match to be shifted. ",SIMLA,1827,2016-03-01T00:00:00.000Z,9,Indo Pak match at Dharamsala will not be allowed CM HP,sports,790
"LOS ANGELES: Serena Williams and Maria Sharapova are legends on the court and megastars off of it and on Sunday night they took a break from their Indian Wells preparations, stepping out for the star-studded 2016 Vanity Fair Oscar Party in Los Angeles.On the tennis court, white dresses are typically reserved for the lawns of Wimbledon, but the players changed things up for the world-famous after-party. Sharapova turned heads in her Preen By Thornton Bregazzi dress and Williams sported a dramatic Galia Lahav lace gown, along with a sleek new haircut.The Oscars also played out on social media, too, with everyone weighing in and showing plenty of love for the night's biggest winners.  ",LOS ANGELES,691,2016-03-01T00:00:00.000Z,9,Tennis stars Serena Maria Hit The Oscar,sports,791
"DHAKA: Pakistan will bank a lot on their bowling attack when they face Bangladesh in a must-win game to secure a position in the Asia Cup Twenty20 finals.</strongThe match scheduled at the Sher-e-Bangla Cricket Stadium, Dhaka, will decide if Pakistan will make it to the finals. Pakistan lost against India.If Bangladesh wins today, they will play the final against India, a team which has so far remained the tournament’s unbeatable champion winning all three matches it played.Pakistan heavily rely on fast bowlers particularly pacer Mohammad Amir, who had shown what he possess against India despite defending a very low total and then UAE batsmen were also seen helpless and now Bangladesh.Bangladesh star bowler Mustafizur Rehman will not play the match today, after he suffered an injury during a match with Sri Lanka. Rehman played a vital part in the team’s victory.Teams:</strongBangladesh: Mashrafe Mortaza (captain), Abu Hider, Al-Amin Hossain, Arafat Sunny, Imrul Kayes, Mahmudullah, Mohammad Mithun, Mushfiqur Rahim, Nasir Hossain, Nurul Hasan, Sabbir Rahman, Shakib Al Hasan, Soumya Sarkar, Tamim Iqbal, Taskin AhmedPakistan: Sahid Afridi (captain), Anwar Ali, Iftikhar Ahmed, Imad Wasim, Khurram Manzoor, Mohammad Amir, Mohammed Hafeez, Mohammad Irfan, Mohammad Nawaz, Mohammad Sami, Sarfaraz Ahmed, Sharjeel Khan, Shoaib Malik, Umar Akmal, Wahab Riaz.",DHAKA,1381,2016-03-02T00:00:00.000Z,9,Pakistan face Bangladesh in must win game today,sports,801
"DUBAI: Iran expects economic growth of more than 5 percent in 2016 after the lifting of sanctions on the country, state television quoted the central bank governor on Saturday as saying.</strong""Iran´s economic growth slowed down in 2015 but domestic and international predictions both indicate that growth in 2016 would be beyond 5 percent,"" Valiollah Seif said.Iran emerged from years of economic isolation in January when world powers led by the United States and the European Union lifted crippling sanctions against OPEC´s No. 3 oil producer in return for curbs on Tehran´s nuclear ambitions.",DUBAI,604,2016-03-05T00:00:00.000Z,9,Iran expects economic growth above 5 pc in 2016,business,821
ISLAMABAD: The giant search engine Google has dedicated its doodle to mark the start of the ICC T20 Cricket World Cup 2016.</strongThe extravaganza will kick start from Tuesday and end on April 3. The event will be held across seven venues in India with 16 teams taking part in it.The doodle shows an amazing bird’s eye view of a jam packed cricket stadium while the two teams are playing the match and audience are cheering them.The crowd can be seen supporting both the teams.A huge Google banner can also be witnessed in the background.A click on the doodle directs the users to a new page consisting of the entire schedule of the upcoming matches.In the first match Zimbabwe will take on Hong Kong in Nagpur while in the second match Scotland will face Afghanistan at the same venue.The epic encounter of the event will be held between traditional rivals India and Pakistan on March 19 at Dharamshala.,ISLAMABAD,912,2016-03-07T00:00:00.000Z,9,Google dedicates its doodle to T20 World Cu,sports,843
"DHARAMSALA: Oman captain Sultan Ahmed won the toss and decided to bowl in their knockout game against Bangladesh in the World Twenty20 first round Group A  match here at the Himachal Pradesh Cricket Association Stadium on Sunday.The side that wins this game will go through to the main draw of the World T20.The toss was delayed by 13 minutes because the Ireland-Netherlands match ended only around 6.56 pm following a long rain delay.Both teams were unchanged from their previous games. Oman were going with the same line-up that beat Ireland while Bangladesh were playing the same XI that played the abandoned game against Netherlands.Teams:Bangladesh: Tamim Iqbal, Soumya Sarkar, Sabbir Rahman, Mushfiqur Rahim (wk), Shakib Al Hasan, Mahmudullah, Mohammad Mithun, Mashrafe Mortaza (captain), Al-Amin Hossain, Abu Hider, Taskin AhmedOman: Zeeshan Maqsood, Khawar Ali, Jatinder Singh, Adnan Ilyas, Mehran Khan, Aamir Kaleem, Amir Ali, Sultan Ahmed (captain &amp; wk), Ajay Lalcheta, Munis Ansari, Bilal Khan",DHARAMSALA,1008,2016-03-13T00:00:00.000Z,9,Bangladesh sent into bat by Oman in knockout g,sports,895
"KARACHI: Pakistan´s trade deficit rose by 4.22 percent to $15.102 billion for the July to February 2016 period, compared with a deficit of $14.490 billion for the same period last year, according to the Pakistan Bureau of Statistics.</strongExports declined to $13.874 billion in the eight month period from $15.995 billion the previous year.Imports dropped to $28.976 billion from $30.485 billion.The Pakistan financial year begins in July.On a monthly basis, the trade deficit decreased to $1.513 billion in February from $1.712 billion the previous month.Exports totalled $1.791 billion in February and imports were worth $3.304 billion.",KARACHI,647,2016-03-15T00:00:00.000Z,9,Pakistani trade deficit rises to 15102 b,business,906
"NAGPUR: New Zealand´s spin-heavy attack will have their work cut out as they set India a 127-run victory target in the first Super 10 match of the World Twenty20 at Nagpur´s VCA Stadium on Tuesday.The tournament proper got underway with Martin Guptill hitting the first delivery over bowler Ravichandran Ashwin´s head for a six but New Zealand slumped to 35-3 in the seventh over after opting to bat first in the Group Two contest.Corey Anderson top scored for New Zealand with 34 but it was Luke Ronchi´s (21 not out) 11-ball cameo that took them to a modest 126-7.New Zealand included three specialist spinners -- Nathan McCullum, Ish Sodhi and Mitchell Santner -- in their squad on a track that offered significant turn.",NAGPUR,723,2016-03-15T00:00:00.000Z,9,India restrict New Zealand to 126 7,sports,912
"MELBOURNE: Spot gold eased on Monday, but found support from a weaker dollar as the US and European central banks kept alive the prospect of cheaper capital for longer.</strongAs central bank rhetoric turns more dovish, investors will search for further hints of easing in a week with few data releases to indicate whether years of loose monetary policy are having any material effect.Central banks however are leaving themselves with fewer policy tools, which means there's a diminishing window for fresh upside for gold based on further easing steps, said chief investment officer Jonathan Barratt of Ayers Alliance in Sydney.""In my mind there's still concerns out there on price.""Spot gold edged down by 0.2 percent to $1,252.21 an ounce by 0208 GMT, having finished last week a tad higher. Prices are consolidating below a 14-month peak of $1,282.51 struck on March 11, which was the loftiest since Jan 2015. Prices had slumped below $1,050 a tonne in December.US gold eased by 0.1 percent to $1,253.10.Market indicators are flashing signs that investors see inflation - after it was almost non-existent since the credit crisis - on the rise, despite scepticism from the Fed and the relatively slow pace of US economic growth.Inflation tends to burnish the investment allure of commodities because it consists of a rise in the value of hard assets.Supporting precious metals, the dollar stayed on the defensive early on Monday, having extended its losses for a third week in the wake of dovish signals from the Federal Reserve.Money managers trimmed their bullish gold bets from a 13-month high in the week to March 15, as they also cut a net long position in copper, US Commodity Futures Trading Commission data showed on Friday.In other metals, platinum and palladium edged down half a percent to $967 and $585.72 respectively.",MELBOURNE,1840,2016-03-21T00:00:00.000Z,9,Gold eases but underpinned by weaker dollar,business,968
"DELHI: England won the toss and elected to bowl against New Zealand in the first semi-final in World T20 here at Feroz Shah Kotla ground on Wednesday.New Zealand were facing their fifth different venue in as many matches and were they to reach the final they would do so without chasing at any time in the tournament.Expectations of a slightly quicker surface in Delhi than New Zealand had normally encountered, with limited spin, led them to include the pace of Adam Milne ahead of the offspin of Nathan McCullum - reverting to the XI which saw off Australia in Dharamsala.Eoin Morgan's decision to bowl was influenced not just by England's preference for chasing but the belief that evening dew in the second innings might tilt conditions a little in their favour. New Zealand's surprise package - the spinners Mitchell Santner and Ish Sodhi - still lay in wait.The pitch appeared to have a little grass, but given the venue's history that did not mean there would be much response for bowlers of any type. England's two previous games, against Afghanistan and Sri Lanka, had been played on slowish surfaces, one dry and slow, one damper and a little quicker, but neither offered much turn.Almost no one would have expected New Zealand to leave both Trent Boult and Tim Southee out for the entire group stage, yet the semi-final had arrived and they were excluded once more.England: Alex Hales, Jason Roy, Joe Root, Eoin Morgan (captain), Jos Buttler (wk), Ben Stokes, Moeen Ali, Adil Rashid, Chris Jordan, David Willey, Liam PlunkettNew Zealand: Martin Guptill, Kane Williamson (captain), Colin Munro, Ross Taylor, Grant Elliott, Corey Anderson, Luke Ronchi (wk), Mitchell Santner, Adam Milne, Ish Sodhi, Mitchell McClenaghan ",DELHI,1729,2016-03-30T00:00:00.000Z,8,England bowl against New Zealand in World T20 first SF,sports,1042
"SINGAPORE: Gold jumped to its highest in nearly three weeks on Monday as Asian equities slid and the dollar held close to six-month lows, burnishing demand for the safe-haven metal.</strongWeak economic data and uncertainty over U.S. monetary policy have sparked risk-averse sentiment in the market, underpinning demand for safety assets such as gold and the Japanese yen, which is trading near levels not seen since 2014.Spot gold rose to $1,250.46 an ounce early on Monday, its highest since March 22. It later pared some gains to trade up 0.8 percent at $1,249.70 an ounce by 0202 GMT, following its best weekly gain in five weeks last week.""Markets are still jittery about what's going on in the global economy... and gold is the preferred safe-haven,"" said OCBC Bank analyst Barnabas Gan.Gold will remain elevated in the short term, Gan said, but he expected the metal to give back some of its gains later in the year as the Federal Reserve carried out two rate hikes.Higher rates would weigh on gold by lifting the opportunity cost of holding non-yielding bullion.Waning expectations for further rate increases this year helped gold to its best quarter in nearly 30 years in the three months to March.Fed Chair Janet Yellen on Thursday said the U.S. economy is on a solid course and still on track to warrant further interest rate hikes. The U.S. central bank raised rates in December for the first time in nearly a decade.New York Fed President William Dudley on Friday said the central bank must approach further rate hikes cautiously and gradually because of lingering external risks to the U.S. economy, despite some strength at home and welcome hints of inflation.The dollar slid 0.15 percent against a basket of major currencies, falling close to last week's low of 94.015, also the lowest since mid-October.MSCI's broadest index of Asia-Pacific shares outside Japan eased 0.4 percent, while Japan's Nikkei stock index fell nearly 2 percent.Data on Friday showed hedge funds and money managers cut their net long positions in gold futures and options in the week to April 5, but still not far from a two-month high.Assets in SPDR Gold Trust, the world's largest gold-backed exchange-traded fund, fell 0.22 percent to 817.81 tonnes on Friday.",SINGAPORE,2260,2016-04-11T00:00:00.000Z,8,Gold climbs to near three week high on safe haven demand,business,1108
"MELBOURNE: Western Australia bowling coach Adam Griffith and former England batsman Graham Hick will join the Australian side temporarily for their one-day triangular series in the West Indies in June, Cricket Australia said on Friday.Justin Langer will take the side to the Caribbean to give regular head coach Darren Lehmann a break before their tour of Sri Lanka in July and August.""We are excited to have Adam join the team for the tour of the West Indies,"" Lehmann said of Griffith´s appointment for the June 3-26 tournament, which also includes South Africa. ""West Australia have some talented young fast-bowlers that have developed under Adam´s watch and it´s great to be able to offer him the chance to work with the Australian side under Justin Langer.""Australia are looking for a full time bowling coach after former international quick Craig McDermott stepped down following the World Twenty20 tournament in India earlier this month.The 38-year-old Griffith played 50 first class matches for Tasmania as a right-arm fast-medium bowler but his career was curtailed with serious injuries before he retired in 2010 and took up a coaching role at Western Australia in 2011.""The opportunity to work with Australia´s premium bowlers is incredibly exciting,"" Griffith said. ""The West Indies and South Africa have some of the most destructive white ball batters in the world and preparing to play them in Caribbean conditions will be a great challenge.""Former England batsman Hick, who is the national cricket centre´s high performance coach, will also join the side as an assistant coach in the West Indies.<br/> Hick has worked at the national cricket centre for the past three years. ",MELBOURNE,1690,2016-04-15T00:00:00.000Z,8,Griffith Hick named as Australia coaches for ODI seri,sports,1133
"COLOMBO: Injured Sri Lankan pacer Lasith Malinga is believed to have acted against the medical advice given by another Sri Lankan doctor Siri Kannangara.</strong“I had examined Malinga in January during my two trips in Sri Lanka and had advised him to take ‘minimum’ six-months rest. This six-month period can still exceed. The period is still not over now and I wonder why he chose to play in the Asia Cup”. Dr. Kannangara told the Sri Lankan newspaper, daily Mirror over telephone from Austrailia.Malinga, had played one match against UAE (at Mirpur) in February-- the very next month after the advice was given to him by the specialist and may have aggregated the injury.Doctor Kannangara said had Malinga listened to his advice, he may have been on a better recovery path. “I had prescribed him a few Intra-Vein injections (not cortisone). I don’t know whether Malinga did take these injections or consulted any other doctor and decided to play”.  “That was his decision and I can’t comment on this”, he added. Dr. Kannangara is likely to arrive in Sri Lanka next month before going to London. “I will not advise Malinga unless and until my advice is sought”, by him doctor clarified.Dr. Kannangara has treated a few international cricketers including India’s Sachin Tendulkar. “Sri Lankan pacer Chaminda Vaas had advised Tendulkar to consult me and I treated him for his back pain”. Viv and Barry Richards, Clive Lloyd and many other ex-players have been successfully treated by Dr. Siri Kannangara.  Meanwhile, the report on Lasith Malinga’s fitness has been submitted to the Sri Lanka Cricket (SLC) board by three specialists.",COLOMBO,1640,2016-04-27T00:00:00.000Z,8,Malinga acted against medical advice by doctor,sports,1189
"KARACHI: Fakhar Zaman slammed a spectacular century to help Khyber Pakhtunkhwa demolish Punjab by 151 runs in the final of Pakistan Cup 2016 at Iqbal Stadium, Faisalabad, on Sunday.</strongIn the day-night decider, Fakhar (115) and Ahmed Shehzad (62) gave a rapid start to enable KP to pile up 311-9 in the allotted 50 overs.Spinners Yasir Shah (3-26) and Zohaib Khan (3-23) then bowled superbly to dismiss Punjab for 160 in 36.1 overs.KP had also lifted the Pentangular Cup in January 2015 when they defeated Balochistan by six wickets in the final under the captaincy of Junaid Khan in Karachi.The Pakistan Cricket Board (PCB) this season named this event as Pakistan Cup by making some changes.Younis Khan won a vital toss and quite rightly elected to bat first on a pitch that was full of runs.In-form openers Shehzad (62) and Fakhar (115) provided an opening stand of 118 in 15.4 overs.Left-arm spinner Kashif Bhatti finally broke the partnership when he had Shehzad stumped by Mohammad Rizwan. The decision was given through a referral.Shehzad, who seemed in elegant touch, smacked two sixes and seven fours in his fiery 45-ball knock.Shehzad finished the event as the highest scorer with 372 runs, including three fifties and a superb 143.Younis promoted left-handed all-rounder Zohaib Khan (12) in the batting order but he departed early. Shoaib Malik had Zohaib caught at deep square-leg by Amad Butt when he attempted a slog sweep.Zohaib, who struggled against Malik, faced 27 deliveries.Fakhar was held at short mid-on by substitute Asif Ali off Test pacer Ehsan Adil after the Mardan-born player had cracked the fourth century of his career.Fakhar hit Shoaib for a four towards mid-off to complete his hundred. He struck three huge sixes and 12 fours in his 111-ball feat. He ended the event as the second highest scorer with 297 runs, which included one century and two fifties.Fakhar added 52 with Younis (49) for the third wicket.Younis and Fahim Ashraf (31) added 57 for the fourth wicket before Ehsan dismissed the latter to leave KP at 265-4 in 44 overs.Fahim struck three fours and a six from 37 balls. Musadiq Ahmed (19) used long handle, hitting two fours and one six in his rapid ten-ball knock.Younis smacked one six from 59 balls before being caught by Shan Masood off Amad as KP lost four wickets off the last 13 balls.Young all-rounder Amad was the pick of the bowlers with 3-55 in ten overs. Ehsan and Aamer Yamin remained expensive with figures of 2-75 in ten overs and 1-49 in six, respectively.Punjab had a poor start when left-arm pacer Zia-ul-Haq removed Salman Butt (0) and Aamer (1) in quick succession to leave them at 29-2 in 7.2 overs.Asad Shafiq (16) also fell early, held excellently by Fakhar at short-cover off the bowling of Fahim. Asad struck three fours from 15 balls.Left-arm spinner Mohammad Asghar got the prized scalp of Shan Masood (36). Asghar tossed it up, it swung in sharply, Shan went on back-foot to cut it, missed it completely before it crashed the stumps. Shan hit five fours from 40 balls. Punjab were gasping at 55-4 in the 13th over.Shoaib (24) and Rizwan (22) tried to consolidate the innings, but at 97, Test-leggie Yasir Shah had the Punjab captain caught by Fahim in the deep. Malik smashed one six and two fours from 26 deliveries.Left-arm spinner Zohaib dislodged Rizwan and Amad (0) in his first over to leave Punjab tottering at 107-7 in the 23rd over.Fahim took his third catch when he held Rizwan at point after the international stumper had smacked two fours from 33 balls. Yasir removed Saif Badar (10).Zulfiqar Babar (29) and Kashif Bhatti (15) extended KP’s wait for celebration as they added 36 for the ninth wicket before Zohaib sent back the former, trapped lbw.Zulfiqar struck two sixes and one four from 32 balls. Yasir completed the rout when he had Ehsan (5) to fold Punjab.Zia-ul-Haq got 2-25 in eight overs.The winners KP received Rs2 million and a glittering trophy, while the runners-up received Rs1 million and runners-up trophy.Besides, Rs100,000 each was handed over to the best all-rounder Zohaib Khan (176 runs, 11 wickets), man of the match Fakhar Zaman, best batsman Ahmed Shehzad (372 runs), best bowlers Mohammad Amir (Sindh) and Zohaib Khan (11 wickets each).KP had brought in Younis Khan and Musadiq Ahmed by dropping Adil Amin and Israrullah. Punjab did not make any change.Ahsan Reza and Shozab Reza supervised the match. Asif Yaqoob acted as television umpire, Khalid Mehmood as reserve umpire and Musaddiq Rasool as match referee.Score BoardKhyber Pakhtunkhwa won tossKhyber PakhtunkhwaAhmed Shehzad st Rizwan b Kashif 62Fakhar Zaman c sub (Asif) b Ehsan 115Zohaib Khan c Amad b Shoaib        12*Younis Khan c Shan b Amad         49Fahim Ashraf lbw b Ehsan    31Musadiq Ahmed c Amad b Aamer    19†Bismillah Khan c Saif b Amad        5Yasir Shah b Amad    4Sameen Gul run out  0M Asghar not out      4Extras (lb 3, w 6, nb 1)       10Total (9 wickets; 50 overs)  311Did not bat: Zia-ul-HaqFall: 1-118, 2-156, 3-208, 4-265, 5-288, 6-298, 7-305, 8-305, 9-311Bowling: Aamer 6-0-49-1 (1w); Ehsan 10-0-75-2 (1nb, 1w); Zulfiqar 10-0-63-0 (1w); Amad 10-0-55-3 (1w); Kashif 6-0-32-1 (1w); Shoaib 8-0-34-1 (1w)PunjaShan Masood b Asghar        36Salman Butt lbw b Zia         0Aamer Yamin c Yasir b Zia   1Asad Shafiq c Fakhar b Fahim        16*Shoaib Malik c Fahim b Yasir         24†M Rizwan c Fahim b Zohaib 22Saif Badar c Younis b Yasir   10Amad Butt c &amp; b Zohaib Khan         0Zulfiqar Babar lbw b Zohaib  29Kashif Bhatti not out  15Ehsan Adil c Ahmed b Yasir  5Extras (w 2)   2Total (all out; 36.1 overs)    160Fall: 1-5, 2-29, 3-53, 4-55, 5-97, 6-107, 7-107, 8-119, 9-155, 10-160Bowling: Sameen 5-0-31-0 (1w); Zia 8-2-25-2 (1w); Asghar 8-0-45-1; Fahim 2-0-10-1; Yasir 8.1-0-26-3; Zohaib 5-0-23-3Result: Khyber Pakhtunkhwa won by 151 runsSeries: Khyber Pakhtunkhwa won the 2016 Pakistan CupMan of the Match: Fakhar Zaman (Khyber Pakhtunkhwa)Umpires: Ahsan Raza and Shozab Raza. TV umpire: Asif Yaqoob. Match referee: Mussadaq Rasool",KARACHI,6039,2016-05-02T00:00:00.000Z,8,KP win Pakistan Cu,sports,1216
"SINGAPORE: Oil prices were steady on Tuesday as brimming inventories and a looming refined products glut offset supply disruptions in Canada and elsewhere that have taken more than 2 million barrels a day of production out of the market.</strongInternational Brent crude futures LCOc1 were trading at $43.70 per barrel at 0315 GMT, up 7 cents from their last settlement.U.S. crude futures CLc1 were trading at $43.34 per barrel, down 10 cents.Canadian officials who got their first glimpse of the oil sands town of Fort McMurray since a wildfire erupted and knocked out over 1 million barrels of daily crude production said almost 90 percent of its buildings were saved.Despite the improving conditions, producers expect shutdowns of several weeks as facilities like pipelines that were close to the fires need to be inspected, while evacuees need to leave production plants before staff can return.Outages in Canada and around the world now amount to more than 2 million barrels of lost daily output since the beginning of the year, virtually erasing a glut that emerged in 2014 and pulled down prices by as much as 70 percent before a recovery started earlier this year.Goldman Sachs said it expected a decline in U.S. oil production by 650,000 bpd this year.BMI Research said that production in Asia was also falling: ""We anticipate combined crude oil production in the region's largest producers, namely China, India, Malaysia and Indonesia, to fall by 4.9 percent in 2016 (equivalent to 331,500 bpd) as low oil prices and upstream spending cuts weigh on overall output.""Adding Canada's disruptions to declines in Latin America and Africa, overall output has likely fallen by over 2 million bpd this year.Yet traders said they were re-focusing on brimming U.S. inventories, which are expected to hit records despite the disruptions from Canada, which exports most of its crude to the United States.U.S. commercial crude stockpiles likely rose last week for the fifth straight week, a Reuters poll showed, with total U.S. crude inventories seen to have built by 500,000 barrels to a record high above 543 million barrels.Some traders said a $40-$50 per barrel price range may reflect a balanced market with plentiful stocks.However, with plenty of crude available, refiners have produced large volumes of gasoline and diesel, threatening to overwhelm demand despite the coming U.S. summer driving season.If that happens, refiners will lower their output and cut orders for new crude feedstock, putting downward pressure on prices.",SINGAPORE,2540,2016-05-10T00:00:00.000Z,8,Oil prices stable as brimming storage counters supply disrupti,business,1264
"LONDON: British employers´ spending on temporary workers rose at the fastest pace in more than a year last month, as nerves around the upcoming European Union referendum dissuaded them from taking on permanent staff, a </<survey showed on Tuesday.</strongThe Recruitment and Employment Confederation´s monthly report added to evidence that British companies are delaying investment plans in the run-up to the June 23 vote on Brexit.Recruitment companies reported heightened uncertainty among their clients, in part because of the referendum, and also said a big rise in the minimum wage increased the cost of temporary staff, the Recruitment and Employment Confederation said.""Employers are turning to temps and contractors to provide a flexible resource, and also as a way of hedging any possible to change to the UK´s relationship with Europe,"" REC chief executive Kevin Green said.Spending on temporary workers hired via recruitment agencies increased at the fastest pace since March 2015, while permanent staff hires rose at the weakest pace since September.Pay for temporary staff increased at the strongest rate since July 2007, which recruitment firms linked to the<br/>introduction of a new minimum wage for those aged 25 and over.But pay growth for permanent staff eased to a three-month low. The Bank of England - which sets out its latest economic<br/>outlook on Thursday - is keeping a close eye on earnings growth, as it assesses the risk of inflation overshooting its target<br/>after falling to a record low last year. However, last month it said it would be less sensitive than usual to changes in economic data around the time of the Brexit<br/>vote, which opinion poll suggest will be a close run.",LONDON,1736,2016-05-10T00:00:00.000Z,8,UK employers favour temporary staff over permanent as EU vote near,business,1265
"TOKYO: Crude oil futures held near six-month highs in early Asian trading as the market focused on supply disruptions that prompted long-time bear Goldman Sachs to issue a bullish assessment on near-term prices.</strongCrude futures have rallied for most of the past two weeks from a combination of Nigerian, Venezuelan and other outages, declining U.S. production and virtually frozen inflows of Canadian crude after wildfires in Alberta's oil sands region.U.S. crude's West Texas Intermediate (WTI) futures were up 8 cents at $47.80 a barrel at 0047 GMT. They rose by $1.51, or 3.3 percent, to end at $47.72 after touching a six-month high on Monday.Brent crude futures were down 5 cents at $48.92 a barrel after rising slightly following the opening of trade. The contract settled up $1.14, or 2.4 percent, at $48.97 per barrel on Monday, having risen above $49 earlier in the session.""The increasing intensity in supply-side disruptions in the oil market should see prices well supported in the short term,"" ANZ said in a research note.The supply disruptions triggered a U-turn in the outlook for the oil market from Goldman Sachs, which had long warned of global storage hitting capacity and of another oil price crash to as low as $20 per barrel.A further bullish note was sounded by the U.S. Energy Information Administration (EIA) on Monday, when it said shale oil output is expected to drop in June for the eighth consecutive month.Shale output is expected to fall by nearly 113,000 bpd to 4.85 million bpd, as the nearly two-year slump in prices continues to undermine profitability at drillers, according to the EIA's drilling productivity report released on Monday.",TOKYO,1684,2016-05-17T00:00:00.000Z,8,Oil futures hold near six month hig,business,1317
